File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,,,,,,,,
contiki 3.0/apps/er-coap/er-coap.c,51,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/ftp/ftpc.c,293,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"    strcpy(uip_appdata, options.commands[c->optionsptr]);",dda65c6839faecb87653de6ac46d0fb83526d8e3b067ade1c6eed90fb43266fb,,,,,,,,
contiki 3.0/apps/ftp/ftpc.c,300,11,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"    len = sprintf(uip_appdata, ""RETR %s\r\n"", c->filename);",338061d9b4abc9d25da3979b4898c8638223cd183eb112806f6d5788ee079327,,,,,,,,
contiki 3.0/apps/ftp/ftpc.c,303,11,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"    len = sprintf(uip_appdata, ""CWD %s\r\n"", c->filename);",daa72d452ad2e202050fe1cef581448971deffcdfa03f82a075efeea1d287080,,,,,,,,
contiki 3.0/apps/http-post-auth/http-post-auth.c,71,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/http-post-auth/http-post-auth.c,159,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"  strcpy(&s->message[7], msg);",ea12312f3d1a44b80349aa8026fe52ee5f290f9ba080315684a035334fd4c4c1,,,,,,,,
contiki 3.0/apps/httpd-ws/httpd-ws.c,50,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/json/jsontree.c,48,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
contiki 3.0/apps/mqtt/mqtt.h,128,18,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define DBG(...) printf(__VA_ARGS__),e40c6f941fbd30920b858c72a64b5e5511b8a9196fbbc05a676afaa581fa7acb,,,,,,,,
contiki 3.0/apps/ping6/ping6.c,44,21,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,#define PRINTF(...) printf(__VA_ARGS__),ef654db525fa107cde56982bb763e7cba59253c58d2b8c034b715b407119abe0,,,,,,,,
