File,Name,CWEs,Category
ext/hal/altera/altera_hal/HAL/inc/sys/alt_driver.h,read,"CWE-120, CWE-20",buffer
ext/hal/altera/altera_hal/HAL/inc/sys/alt_flash_dev.h,open,CWE-362,misc
ext/hal/altera/altera_hal/HAL/inc/sys/alt_flash_dev.h,read,"CWE-120, CWE-20",buffer
ext/hal/altera/altera_hal/HAL/inc/sys/alt_flash.h,read,"CWE-120, CWE-20",buffer
ext/hal/altera/altera_hal/HAL/inc/sys/alt_log_printf.h,system,CWE-78,shell
ext/hal/altera/altera_hal/HAL/inc/sys/alt_log_printf.h,system,CWE-78,shell
ext/hal/altera/drivers/altera_avalon_jtag_uart/HAL/inc/altera_avalon_jtag_uart.h,char,CWE-119,buffer
ext/hal/altera/drivers/altera_avalon_jtag_uart/HAL/inc/altera_avalon_jtag_uart.h,char,CWE-119,buffer
ext/hal/altera/drivers/altera_avalon_jtag_uart/HAL/src/altera_avalon_jtag_uart_read.c,memcpy,CWE-120,buffer
ext/hal/altera/drivers/altera_avalon_jtag_uart/HAL/src/altera_avalon_jtag_uart_write.c,memcpy,CWE-120,buffer
ext/hal/altera/drivers/altera_avalon_uart/HAL/src/altera_avalon_uart_ioctl.c,memcpy,CWE-120,buffer
ext/hal/altera/drivers/altera_epcq_controller/HAL/src/altera_epcq_controller.c,memcpy,CWE-120,buffer
ext/hal/altera/drivers/altera_epcq_controller/HAL/src/altera_epcq_controller.c,memcpy,CWE-120,buffer
ext/hal/altera/drivers/altera_generic_qspi_controller2/HAL/src/altera_generic_quad_spi_controller2.c,memcpy,CWE-120,buffer
ext/hal/altera/drivers/altera_generic_qspi_controller2/HAL/src/altera_generic_quad_spi_controller2.c,memcpy,CWE-120,buffer
ext/lib/crypto/tinycrypt/include/tinycrypt/ecc.h,randon,CWE-327,random
ext/lib/crypto/tinycrypt/source/ctr_prng.c,memcpy,CWE-120,buffer
ext/lib/crypto/tinycrypt/source/ctr_prng.c,memcpy,CWE-120,buffer
ext/lib/crypto/tinycrypt/source/ctr_prng.c,memcpy,CWE-120,buffer
ext/lib/crypto/tinycrypt/source/ctr_prng.c,memcpy,CWE-120,buffer
ext/lib/crypto/tinycrypt/source/ctr_prng.c,memcpy,CWE-120,buffer
ext/lib/crypto/tinycrypt/source/ctr_prng.c,memcpy,CWE-120,buffer
ext/lib/crypto/tinycrypt/source/ctr_prng.c,memcpy,CWE-120,buffer
ext/lib/crypto/tinycrypt/source/ctr_prng.c,memcpy,CWE-120,buffer
ext/lib/crypto/tinycrypt/source/ecc_dh.c,memcpy,CWE-120,buffer
ext/lib/crypto/tinycrypt/source/ecc_platform_specific.c,open,CWE-362,misc
ext/lib/crypto/tinycrypt/source/ecc_platform_specific.c,open,CWE-362,misc
ext/lib/crypto/tinycrypt/source/ecc_platform_specific.c,read,"CWE-120, CWE-20",buffer
ext/lib/crypto/tinycrypt/source/ecc.c,randon,CWE-327,random
ext/lib/crypto/tinycrypt/source/ecc.c,randon,CWE-327,random
ext/lib/crypto/tinycrypt/source/ecc.c,randon,CWE-327,random
ext/lib/crypto/tinycrypt/source/ecc.c,randon,CWE-327,random
ext/lib/crypto/tinycrypt/source/ecc.c,randon,CWE-327,random
ext/lib/crypto/tinycrypt/source/utils.c,memcpy,CWE-120,buffer
include/arch/x86/ia32/arch.h,char,CWE-119,buffer
include/arch/x86/ia32/arch.h,char,CWE-119,buffer
include/arch/x86/ia32/arch.h,char,CWE-119,buffer
include/audio/dmic.h,read,"CWE-120, CWE-20",buffer
include/audio/dmic.h,read,"CWE-120, CWE-20",buffer
include/bluetooth/bluetooth.h,char,CWE-119,buffer
include/bluetooth/bluetooth.h,strcpy,CWE-120,buffer
include/bluetooth/bluetooth.h,strcpy,CWE-120,buffer
include/bluetooth/bluetooth.h,strcpy,CWE-120,buffer
include/bluetooth/bluetooth.h,strcpy,CWE-120,buffer
include/bluetooth/gatt.h,read,"CWE-120, CWE-20",buffer
include/bluetooth/hci.h,memcpy,CWE-120,buffer
include/bluetooth/hci.h,memcpy,CWE-120,buffer
include/data/jwt.h,char,CWE-119,buffer
include/disk/disk_access.h,read,"CWE-120, CWE-20",buffer
include/drivers/adc.h,read,"CWE-120, CWE-20",buffer
include/drivers/adc.h,read,"CWE-120, CWE-20",buffer
include/drivers/bluetooth/hci_driver.h,open,CWE-362,misc
include/drivers/can.h,memcpy,CWE-120,buffer
include/drivers/console/console.h,char,CWE-119,buffer
include/drivers/counter.h,read,"CWE-120, CWE-20",buffer
include/drivers/counter.h,read,"CWE-120, CWE-20",buffer
include/drivers/display.h,read,"CWE-120, CWE-20",buffer
include/drivers/display.h,read,"CWE-120, CWE-20",buffer
include/drivers/flash.h,read,"CWE-120, CWE-20",buffer
include/drivers/flash.h,read,"CWE-120, CWE-20",buffer
include/drivers/gpio.h,read,"CWE-120, CWE-20",buffer
include/drivers/gpio.h,read,"CWE-120, CWE-20",buffer
include/drivers/i2s.h,read,"CWE-120, CWE-20",buffer
include/drivers/i2s.h,read,"CWE-120, CWE-20",buffer
include/drivers/rtc.h,read,"CWE-120, CWE-20",buffer
include/fs/fs.h,char,CWE-119,buffer
include/fs/fs.h,open,CWE-362,misc
include/fs/fs.h,read,"CWE-120, CWE-20",buffer
include/kernel.h,char,CWE-119,buffer
include/mgmt/smp_shell.h,char,CWE-119,buffer
include/net/dns_resolve.h,char,CWE-119,buffer
include/net/lwm2m.h,strlen,CWE-126,buffer
include/net/net_core.h,char,CWE-119,buffer
include/net/net_ip.h,char,CWE-119,buffer
include/net/net_ip.h,char,CWE-119,buffer
include/net/net_ip.h,char,CWE-119,buffer
include/net/net_ip.h,memcpy,CWE-120,buffer
include/net/net_ip.h,memcpy,CWE-120,buffer
include/net/net_ip.h,memcpy,CWE-120,buffer
include/net/net_linkaddr.h,memcpy,CWE-120,buffer
include/net/net_pkt.h,access,CWE-367,race
include/net/net_pkt.h,access,CWE-367,race
include/net/net_pkt.h,access,CWE-367,race
include/net/ppp.h,char,CWE-119,buffer
include/net/socket.h,char,CWE-119,buffer
include/posix/dirent.h,char,CWE-119,buffer
include/posix/unistd.h,read,"CWE-120, CWE-20",buffer
include/posix/unistd.h,usleep,CWE-676,obsolete
include/shell/shell_telnet.h,char,CWE-119,buffer
include/shell/shell.h,char,CWE-119,buffer
include/shell/shell.h,char,CWE-119,buffer
include/shell/shell.h,char,CWE-119,buffer
include/shell/shell.h,read,"CWE-120, CWE-20",buffer
