File,Name
lib/libc/newlib/libc-hooks.c,open
lib/libc/newlib/libc-hooks.c,read
lib/os/fdtable.c,read
lib/os/fdtable.c,read
lib/os/fdtable.c,read
lib/os/json.c,char
lib/os/json.c,char
lib/os/json.c,memcpy
lib/os/printk.c,char
lib/os/ring_buffer.c,memcpy
lib/os/ring_buffer.c,memcpy
lib/posix/fs.c,open
lib/posix/fs.c,memcpy
lib/posix/fs.c,strlen
lib/posix/mqueue.c,strcpy
lib/posix/mqueue.c,strlen
lib/posix/mqueue.c,strlen
lib/posix/mqueue.c,strlen
lib/posix/pthread.c,memcpy
lib/posix/sleep.c,usleep
lib/updatehub/updatehub_device.c,char
lib/updatehub/updatehub_device.c,strlen
lib/updatehub/updatehub_device.c,strncat
lib/updatehub/updatehub_priv.h,char
lib/updatehub/updatehub.c,char
lib/updatehub/updatehub.c,char
lib/updatehub/updatehub.c,char
lib/updatehub/updatehub.c,char
lib/updatehub/updatehub.c,char
lib/updatehub/updatehub.c,char
lib/updatehub/updatehub.c,memcpy
lib/updatehub/updatehub.c,memcpy
lib/updatehub/updatehub.c,memcpy
lib/updatehub/updatehub.c,memcpy
lib/updatehub/updatehub.c,memcpy
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strncat
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strncat
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
lib/updatehub/updatehub.c,strlen
samples/basic/threads/src/main.c,memcpy
samples/bluetooth/central_hr/src/main.c,char
samples/bluetooth/central_hr/src/main.c,char
samples/bluetooth/central_hr/src/main.c,char
samples/bluetooth/central/src/main.c,char
samples/bluetooth/central/src/main.c,char
samples/bluetooth/central/src/main.c,char
samples/bluetooth/eddystone/src/main.c,memcpy
samples/bluetooth/eddystone/src/main.c,memcpy
samples/bluetooth/eddystone/src/main.c,memcpy
samples/bluetooth/eddystone/src/main.c,memcpy
samples/bluetooth/eddystone/src/main.c,memcpy
samples/bluetooth/hci_uart/src/main.c,read
samples/bluetooth/hci_uart/src/main.c,read
samples/bluetooth/hci_uart/src/main.c,read
samples/bluetooth/hci_uart/src/main.c,read
samples/bluetooth/hci_uart/src/main.c,read
samples/bluetooth/hci_uart/src/main.c,read
samples/bluetooth/hci_uart/src/main.c,read
samples/bluetooth/ipsp/src/main.c,char
samples/bluetooth/ipsp/src/main.c,char
samples/bluetooth/peripheral_csc/src/main.c,memcpy
samples/bluetooth/peripheral_csc/src/main.c,memcpy
samples/bluetooth/peripheral_csc/src/main.c,memcpy
samples/bluetooth/peripheral_esp/src/main.c,char
samples/bluetooth/peripheral_esp/src/main.c,char
samples/bluetooth/peripheral_hids/src/hog.c,memcpy
samples/bluetooth/peripheral_hids/src/main.c,char
samples/bluetooth/peripheral_hids/src/main.c,char
samples/bluetooth/peripheral_hids/src/main.c,char
samples/bluetooth/peripheral_hids/src/main.c,char
samples/bluetooth/peripheral_hids/src/main.c,char
samples/bluetooth/peripheral_hr/src/main.c,char
samples/bluetooth/peripheral_ht/src/main.c,char
samples/bluetooth/peripheral_sc_only/src/main.c,char
samples/bluetooth/peripheral_sc_only/src/main.c,char
samples/bluetooth/peripheral_sc_only/src/main.c,char
samples/bluetooth/peripheral_sc_only/src/main.c,char
samples/bluetooth/peripheral_sc_only/src/main.c,char
samples/bluetooth/peripheral_sc_only/src/main.c,char
samples/bluetooth/peripheral_sc_only/src/main.c,char
samples/bluetooth/peripheral/src/cts.c,memcpy
samples/bluetooth/peripheral/src/cts.c,memcpy
samples/bluetooth/peripheral/src/main.c,memcpy
samples/bluetooth/peripheral/src/main.c,memcpy
samples/bluetooth/peripheral/src/main.c,memcpy
samples/bluetooth/peripheral/src/main.c,memcpy
samples/bluetooth/peripheral/src/main.c,char
samples/bluetooth/peripheral/src/main.c,char
samples/bluetooth/peripheral/src/main.c,strlen
samples/boards/96b_argonkey/sensors/src/main.c,char
samples/boards/96b_argonkey/sensors/src/main.c,sprintf
samples/boards/96b_argonkey/sensors/src/main.c,sprintf
samples/boards/96b_argonkey/sensors/src/main.c,sprintf
samples/boards/96b_argonkey/sensors/src/main.c,sprintf
samples/boards/96b_argonkey/sensors/src/main.c,char
samples/boards/96b_argonkey/sensors/src/main.c,sprintf
samples/boards/96b_argonkey/sensors/src/main.c,sprintf
samples/boards/96b_argonkey/sensors/src/main.c,sprintf
samples/boards/96b_argonkey/sensors/src/main.c,sprintf
samples/boards/bbc_microbit/line_follower_robot/src/main.c,char
samples/boards/bbc_microbit/line_follower_robot/src/main.c,char
