File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
RIOT 2018.07/sys/rtt_stdio/rtt_stdio.c,277,9,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120),Make sure destination can always hold the source data,,CWE-120,"        memcpy(rtt_cb.up[0].buf_ptr + rtt_cb.up[0].wr_off, buf_ptr, num_bytes_to_write);",36fbaad86906454d4ff38d42316a047653cf1b5421b0ba52c7f46bbc1fdeb4ae
RIOT 2018.07/sys/shell/commands/sc_can.c,63,17,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,    int ifnum = atoi(argv[1]);,2c1b4f6b583ec28ddce14fe664373ea03f163aef093c02f6dc749ee7fd2a31b6
RIOT 2018.07/sys/shell/commands/sc_can.c,90,17,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,    int ifnum = atoi(argv[1]);,2c1b4f6b583ec28ddce14fe664373ea03f163aef093c02f6dc749ee7fd2a31b6
RIOT 2018.07/sys/shell/commands/sc_can.c,91,15,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,    int cnt = atoi(argv[2]);,0e96ed04645d7d97496a5f95e149b08d2ef40ae81e6bb2e4248f43d02709063e
RIOT 2018.07/sys/shell/commands/sc_ccnl.c,31,17,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,static unsigned char _int_buf[BUF_SIZE];,94aafcfc588e08ff6220e4455c9a56fe6dad061bb09591b33461cc4e176ce05c
RIOT 2018.07/sys/shell/commands/sc_ccnl.c,33,17,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,static unsigned char _out[CCNL_MAX_PACKET_SIZE];,9fb32529231fc081314b79ece0dc421753d209ebfa08765b4b96e1ee0cbdc779
RIOT 2018.07/sys/shell/commands/sc_ccnl.c,56,15,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,    int pid = atoi(argv[1]);,7cd9b98ed39252dde14a0b814e2f6c0adc9b474277aac2b704afe4ba2690abce
RIOT 2018.07/sys/shell/commands/sc_ccnl.c,95,5,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,    char buf[BUF_SIZE+1]; /* add one extra space to fit trailing '\0' */,0fd825b3d76b46b970302b502c06d741d1de72fa06adca7802a3d51cb8c839a8
RIOT 2018.07/sys/shell/commands/sc_ccnl.c,157,5,2,buffer,memcpy,Does not check for buffer overflows when copying to destination (CWE-120),Make sure destination can always hold the source data,,CWE-120,"    memcpy(&(sun.linklayer.sll_addr), relay_addr, addr_len);",72552e85e9c75205d22eca8965a5e267d5bc6ed0d9ba50a79c1b9d7209ffbf5a
RIOT 2018.07/sys/shell/commands/sc_disk.c,108,34,2,integer,atol,"Unless checked, the resulting number can exceed the expected range (CWE-190)","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended)",,CWE-190,        unsigned long sectornr = atol(argv[1]);,96c238243c37137ce45044d724d40c3b7f8949ee217db9e14cf650a41c618a85
